example_id                                                    | status  | run_time        |
./spec/views/admin/users/index.html.haml_spec.rb[1:1]         | passed  | 0.14444 seconds |
./spec/views/admin/users/new.html.haml_spec.rb[1:1]           | failed  | 0.12957 seconds |
./spec/views/admin/users/show.html.haml_spec.rb[1:1]          | failed  | 0.09966 seconds |
./spec/views/icons/edit.html.haml_spec.rb[1:1]                | passed  | 0.06754 seconds |
./spec/views/icons/index.html.haml_spec.rb[1:1]               | failed  | 0.02357 seconds |
./spec/views/icons/new.html.haml_spec.rb[1:1]                 | failed  | 0.18159 seconds |
./spec/views/icons/show.html.haml_spec.rb[1:1]                | passed  | 0.04474 seconds |
./spec/views/iconsets/edit.html.haml_spec.rb[1:1]             | passed  | 0.27346 seconds |
./spec/views/iconsets/index.html.haml_spec.rb[1:1]            | failed  | 0.06554 seconds |
./spec/views/iconsets/new.html.haml_spec.rb[1:1]              | passed  | 0.0579 seconds  |
./spec/views/iconsets/show.html.haml_spec.rb[1:1]             | passed  | 0.05535 seconds |
./spec/views/layers/edit.html.haml_spec.rb[1:1]               | failed  | 0.01054 seconds |
./spec/views/layers/index.html.haml_spec.rb[1:1]              | failed  | 0.01264 seconds |
./spec/views/layers/new.html.haml_spec.rb[1:1]                | failed  | 0.22859 seconds |
./spec/views/layers/show.html.haml_spec.rb[1:1]               | failed  | 0.02462 seconds |
./spec/views/maps/edit.html.haml_spec.rb[1:1]                 | failed  | 0.01282 seconds |
./spec/views/maps/index.html.haml_spec.rb[1:1]                | failed  | 0.00787 seconds |
./spec/views/maps/new.html.haml_spec.rb[1:1]                  | failed  | 0.10197 seconds |
./spec/views/maps/show.html.haml_spec.rb[1:1]                 | failed  | 0.03364 seconds |
./spec/views/places/edit.html.haml_spec.rb[1:1]               | passed  | 0.27425 seconds |
./spec/views/places/index.html.haml_spec.rb[1:1]              | failed  | 0.06122 seconds |
./spec/views/places/new.html.haml_spec.rb[1:1]                | failed  | 0.06629 seconds |
./spec/views/places/show.html.haml_spec.rb[1:1]               | failed  | 0.24262 seconds |
./spec/views/start/index.html.haml_spec.rb[1:1]               | failed  | 0.02875 seconds |
